key,fname,mname,lname,generation,dob,dod,gender,addr1,city,country,postcode,phone,email,website,ssn,ssn_last4,drlic,passport,gov_id,employ,address,income,debtinc,creddebt,othdebt,pending,default
"REF00000019","Melissa","Julie","Robinson","","1939-04-15",1979-09-22,"F","38 Abbey Court","YAZC City","United States","YA 8393","0 2610","","",657614,7614,826680,566750,872183,4.000000,3.000000,61.000000,5.700000,0.563274,2.913726,"F","Repaid"
"REF00000020","Diane","Linda","Price","","1989-01-16",,"F","63 Viking Crescent","LLKJVille","United States","LL 3493","0 2530","diane_price@www.ulqqxxcid.net","www.ulqqxxcid.net",604372,4372,935430,199611,303238,1.000000,7.000000,26.000000,1.700000,0.099008,0.342992,"F","Repaid"
"REF00000021","Brenda","Betty","Walker","","1966-11-17",,"F","7 Oak Court","YAZC City","United States","YA 7559","0 9366","brenda_walker@www.glyhkbbj.org","www.glyhkbbj.org",968705,8705,430675,234783,464794,11.000000,6.000000,52.000000,3.200000,1.154816,0.509184,"F","Repaid"
"REF00000022","Amanda","Rose","King","","1939-10-16",1986-07-20,"F","20 Abbey Lane","PWMSA City","United States","PW 8871","0 2820","","",668753,8753,924156,530607,686729,2.000000,0.000000,43.000000,5.600000,0.587552,1.820448,"F","Repaid"
"REF00000023","Ralph","Billy","Hill","","1935-02-22",1983-06-16,"M","59 Panner Drive","ABWQ City","United States","AB 7277","0 7379","","",525910,5910,567392,700105,519311,16.000000,18.000000,26.000000,10.000000,0.431600,2.168400,"F","Repaid"
"REF00000024","Peter","Victor","Lopez","","1925-07-16",1967-08-05,"M","79 Apple Lane","PZYVille","United States","PZ 3175","0 3279","","",452453,2453,650141,556867,289585,11.000000,8.000000,27.000000,9.800000,0.402192,2.243808,"F","Repaid"
"REF00000025","Juan","Louis","Jones","","1933-05-05",1978-04-26,"M","91 Dane Way","ABWQ City","United States","AB 5544","0 8978","","",302477,2477,972043,895775,497591,5.000000,6.000000,16.000000,18.000000,0.241920,2.638080,"F","Default"
"REF00000026","Charles","Ronald","Hernandez","","1994-10-26",,"M","76 Zebra Lane","HWAZ Rapids","United States","HW 2000","0 8640","charles_hernandez@www.hguxqwhu.com","www.hguxqwhu.com",844866,4866,832890,227095,977495,15.000000,19.000000,32.000000,17.600000,2.140160,3.491840,"F","Repaid"
"REF00000027","Elizabeth","Doris","Ramirez","","1979-01-28",2006-06-26,"F","95 Viking Road","ABWQ City","United States","AB 4130","0 5027","elizabeth_ramirez@www.hpqqxxqvy.com","www.hpqqxxqvy.com",993902,3902,818271,555807,852742,9.000000,11.000000,69.000000,6.700000,0.707319,3.915681,"F","Repaid"
"REF00000028","Catherine","Frances","Johnson","","1942-02-02",1986-03-13,"F","17 Dane Court","UWNZ Falls","United States","UW 9067","0 5817","","",988458,8458,420219,339641,429492,1.000000,0.000000,64.000000,16.700000,0.951232,9.736768,"F","Repaid"
"REF00000029","Christine","Sharon","Wood","","1932-11-13",1977-04-01,"F","40 Oak Road","UWNZ Falls","United States","UW 1662","0 2892","","",653036,3036,651234,491928,353078,4.000000,9.000000,58.000000,18.400000,3.084208,7.587792,"F","Repaid"
"REF00000030","Anna","Evelyn","Wilson","","1938-04-25",,"F","80 Treehill Drive","PWMSA City","United States","PW 9943","0 3806","a.wilson@www.icsiansi.org","www.icsiansi.org",881847,1847,624160,991556,937263,3.000000,4.000000,37.000000,14.200000,0.204906,5.049094,"F","Repaid"
"REF00000031","Katherine","Anne","Perry","","1930-09-07",1973-07-22,"F","16 Kepler Court","UWNZ Falls","United States","UW 6119","0 4850","","",531162,1162,273202,537400,388395,0.000000,9.000000,20.000000,2.100000,0.105000,0.315000,"F","Repaid"
"REF00000032","Cheryl","Janet","Gonzales","","1970-12-04",,"F","45 South Drive","PZYVille","United States","PZ 8084","0 1898","c.gonzales@www.nblyknpr.net","www.nblyknpr.net",759181,9181,933565,923380,440265,13.000000,7.000000,22.000000,10.500000,1.138830,1.171170,"F","Repaid"
"REF00000033","Joshua","Andrew","Bell","","1984-03-17",,"M","19 Cork Avenue","ANEZ City","United States","AN 9793","0 7301","j.bell@www.tksiasbj.com","www.tksiasbj.com",341068,1068,367083,828262,336690,15.000000,21.000000,26.000000,6.000000,0.722280,0.837720,"F","Repaid"
"REF00000034","Jessica","Karen","Richardson","","1993-10-24",,"F","30 Apple Close","HWAZ Rapids","United States","HW 1117","0 8019","j.richardson@www.euuxqwtc.net","www.euuxqwtc.net",192455,2455,608505,247712,961620,8.000000,16.000000,27.000000,14.400000,1.018656,2.869344,"F","Repaid"
"REF00000854","Robin","Melissa","Evans","","1992-12-22",,"F","99 Viking Court","YAZC City","United States","YA 5484","0 7598","robin_evans@www.hzqqxxurl.com","www.hzqqxxurl.com",468375,8375,990729,130600,610884,0.000000,2.000000,35.000000,2.900000,0.077140,0.937860,"F","Repaid"
"REF00000036","Richard","Adam","Alexander","","1949-11-22",1997-03-19,"M","78 Barn Crescent","ABWQ City","United States","AB 6762","0 1477","","",984358,4358,318979,866582,864008,4.000000,1.000000,45.000000,26.000000,6.048900,5.651100,"F","Repaid"
"REF00000037","Roger","Joshua","Gray","","1961-06-06",,"M","97 Treehill Road","ABWQ City","United States","AB 4285","0 6758","r.gray@www.otsiamxm.net","www.otsiamxm.net",902189,2189,222672,844340,192393,18.000000,8.000000,22.000000,16.100000,1.409716,2.132284,"F","Repaid"
"REF00000038","Diane","Mary","Hill","","1931-11-04",1975-07-26,"F","25 Wallsend Crescent","LLKJVille","United States","LL 1101","0 6587","","",798246,8246,584039,364693,488818,10.000000,2.000000,54.000000,14.400000,3.195936,4.580064,"F","Repaid"
"REF00000039","Ann","Emily","Davis","","1940-08-22",,"F","39 Bramble Road","YAZC City","United States","YA 4904","0 2000","ann_davis@www.jluxqhsn.net","www.jluxqhsn.net",543828,3828,436520,931653,383493,4.000000,6.000000,24.000000,17.100000,1.337904,2.766096,"F","Default"
"REF00000040","Keith","Billy","Green","","1950-09-08",,"M","1 Aadrvark Drive","PWMSA City","United States","PW 2871","0 4600","k.green@www.jwpqdixu.net","www.jwpqdixu.net",969515,9515,533552,355461,527775,13.000000,0.000000,50.000000,4.200000,0.558600,1.541400,"F","Repaid"
"REF00000041","Kathy","Kimberly","Martinez","","1994-07-06",,"F","16 Adderly Drive","PZYVille","United States","PZ 9713","0 1003","kathy_martinez@www.bmkzzodi.com","www.bmkzzodi.com",401986,1986,813089,922384,315999,0.000000,26.000000,31.000000,6.600000,0.337590,1.708410,"F","Repaid"
"REF00000042","Evelyn","Robin","Williams","","1964-09-28",2008-08-15,"F","71 North Road","UWNZ Falls","United States","UW 1706","0 8232","e.williams@www.snkzzipy.net","www.snkzzipy.net",353381,3381,679024,918359,131137,6.000000,0.000000,59.000000,8.000000,1.807760,2.912240,"F","Repaid"
"REF00000043","Todd","Harold","Miller","","1956-09-04",2005-09-05,"M","34 Fir Drive","ABWQ City","United States","AB 8577","0 7477","t.miller@www.xdqqxxatp.org","www.xdqqxxatp.org",647863,7863,547235,437844,231550,1.000000,8.000000,41.000000,4.600000,0.941114,0.944886,"F","Repaid"
"REF00000044","Eugene","Jeremy","Harris","","1950-07-07",1993-05-01,"M","21 Panner Road","PZYVille","United States","PZ 3328","0 1682","","",476304,6304,472468,435919,736307,16.000000,13.000000,48.000000,13.100000,1.930416,4.357584,"F","Repaid"
"REF00000045","Robin","Barbara","Watson","","1995-01-10",,"F","5 Lombard Lane","HWAZ Rapids","United States","HW 2835","0 3994","robin_watson@www.ddoazptui.com","www.ddoazptui.com",937813,7813,824716,233898,549349,18.000000,34.000000,14.000000,7.500000,0.302400,0.747600,"F","Default"
"REF00000046","Edward","Terry","Perez","","1987-10-03",,"M","85 Yockley Way","UWNZ Falls","United States","UW 8937","0 9511","e.perez@www.mcpqdnod.com","www.mcpqdnod.com",724561,4561,846825,598768,417970,7.000000,6.000000,16.000000,6.800000,0.150144,0.937856,"F","Repaid"
"REF00000047","Howard","Jesse","Simmons","","1986-07-23",,"M","60 Bramble Road","QXYTown","United States","QX 3307","0 1884","howard_simmons@www.dqopjlcz.org","www.dqopjlcz.org",178813,8813,371697,101655,546697,26.000000,21.000000,35.000000,4.500000,0.431550,1.143450,"F","Repaid"
"REF00000048","Brenda","Lois","Anderson","","1930-02-11",1979-06-08,"F","52 Greeney Avenue","HWAZ Rapids","United States","HW 2751","0 5989","","",661674,1674,897789,728950,441253,19.000000,16.000000,26.000000,10.400000,0.121680,2.582320,"F","Repaid"
"REF00000049","Carlos","Lawrence","Gonzales","","1961-02-18",2010-04-20,"M","33 Yockley Court","LLKJVille","United States","LL 6410","0 3962","c.gonzales@www.bdsiafkd.net","www.bdsiafkd.net",266924,6924,355278,293705,564098,6.000000,7.000000,21.000000,11.400000,0.775656,1.618344,"F","Default"
"REF00000050","Heather","Norma","Young","","1939-11-07",,"F","21 Bramble Court","ANEZ City","United States","AN 2253","0 2711","heather_young@www.wbopjhuj.org","www.wbopjhuj.org",380306,306,397745,609146,623747,5.000000,9.000000,42.000000,7.400000,0.205128,2.902872,"F","Repaid"
"REF00000051","Barbara","Joan","Taylor","","1941-10-16",1988-11-12,"F","70 Banburgh Court","QXYTown","United States","QX 4013","0 2597","","",841054,1054,732694,705807,406931,8.000000,21.000000,25.000000,12.600000,0.573300,2.576700,"F","Default"
"REF00000052","Katherine","Donna","Nelson","","1993-05-08",,"F","86 Abbey Road","PZYVille","United States","PZ 2617","0 2651","k.nelson@www.yykzzcbl.com","www.yykzzcbl.com",574194,4194,578242,252884,574000,24.000000,10.000000,20.000000,14.000000,0.809200,1.990800,"F","Repaid"
"REF00000053","Joe","Scott","Bailey","","1958-08-09",2003-07-07,"M","77 Hadden Close","YAZC City","United States","YA 9920","0 6086","j.bailey@www.ilkzzeju.net","www.ilkzzeju.net",122065,2065,959452,594031,654970,0.000000,2.000000,52.000000,12.900000,3.032016,3.675984,"F","Default"
"REF00000054","Andrea","Paula","Nelson","","1947-05-27",,"F","91 Hadden Drive","LLKJVille","United States","LL 9723","0 7121","andrea_nelson@www.cxpqdvnt.net","www.cxpqdvnt.net",512336,2336,328797,248824,602764,13.000000,2.000000,25.000000,3.700000,0.311725,0.613275,"F","Repaid"
"REF00000055","Anna","Sara","Lewis","","1934-08-18",,"F","86 Aadrvark Road","ABWQ City","United States","AB 3546","0 4355","a.lewis@www.ijoazpkmc.com","www.ijoazpkmc.com",953679,3679,104053,115823,686732,1.000000,2.000000,28.000000,9.500000,0.553280,2.106720,"F","Repaid"
"REF00000056","Randy","Bruce","Flores","III","1939-03-21",,"M","77 Treehill Lane","KSAATown","United States","KS 6624","0 5016","r.flores@www.llpqdwop.net","www.llpqdwop.net",640702,702,286502,913211,742846,2.000000,1.000000,24.000000,15.100000,1.801128,1.822872,"F","Default"
"REF00000057","Brian","Antonio","Jackson","","1939-02-17",1967-02-09,"M","90 Loop Road","UWNZ Falls","United States","UW 6579","0 2734","","",298334,8334,118662,644734,769852,18.000000,0.000000,34.000000,5.000000,0.397800,1.302200,"F","Repaid"
"REF00000058","Kelly","Irene","Morgan","","1933-12-17",1974-02-20,"F","73 Wallsend Close","HWAZ Rapids","United States","HW 6907","0 1650","","",468057,8057,289321,247959,460401,9.000000,4.000000,69.000000,2.400000,1.061496,0.594504,"F","Repaid"
"REF00000059","Lisa","Phyllis","Bryant","","1948-09-27",1992-07-04,"F","86 Wallsend Drive","PWMSA City","United States","PW 3615","0 5305","","",178165,8165,632971,234187,331228,1.000000,0.000000,100.000000,2.500000,1.485000,1.015000,"F","Repaid"
"REF00000060","Brandon","Kevin","Hernandez","","1974-08-09",,"M","22 Wallsend Avenue","QXYTown","United States","QX 4368","0 6175","brandon_hernandez@www.ycqyzchl.org","www.ycqyzchl.org",795486,5486,625615,656999,817754,1.000000,15.000000,80.000000,12.200000,2.479040,7.280960,"F","Repaid"
"REF00000061","Jessica","Joan","Martin","","1962-09-04",,"F","100 Aadrvark Drive","PWMSA City","United States","PW 3386","0 2627","j.martin@www.cslykegu.net","www.cslykegu.net",186307,6307,525098,791499,614552,0.000000,2.000000,28.000000,2.400000,0.047712,0.624288,"F","Repaid"
"REF00000062","Jason","Dennis","Ramirez","","1982-06-08",,"M","8 Park Court","KSAATown","United States","KS 4844","0 5533","jason_ramirez@www.huopjzba.net","www.huopjzba.net",328586,8586,496603,254244,136597,0.000000,2.000000,42.000000,7.400000,1.457652,1.650348,"F","Default"
"REF00000063","George","Larry","Sanchez","","1937-03-18",1980-12-18,"M","5 Cork Crescent","UWNZ Falls","United States","UW 1385","0 7145","","",365954,5954,217111,586800,737312,7.000000,2.000000,23.000000,12.400000,0.869860,1.982140,"F","Repaid"
"REF00000064","Jane","Rachel","Hayes","","1995-02-16",,"F","37 Alpha Court","ANEZ City","United States","AN 8446","0 1043","j.hayes@www.uxsiarwh.org","www.uxsiarwh.org",964601,4601,332778,219931,553967,3.000000,19.000000,55.000000,7.000000,2.159850,1.690150,"F","Repaid"
"REF00000065","Julie","Marilyn","Hughes","","1941-05-11",,"F","63 Abbey Avenue","UWNZ Falls","United States","UW 7260","0 4315","j.hughes@www.jhopjujr.net","www.jhopjujr.net",865390,5390,113896,925358,250135,3.000000,7.000000,28.000000,7.800000,1.024296,1.159704,"F","Repaid"
"REF00000066","Carlos","Joe","Harris","","1983-03-27",,"M","1 Apple Crescent","QXYTown","United States","QX 7689","0 3893","carlos_harris@www.rrqqxxohg.org","www.rrqqxxohg.org",882661,2661,873027,581138,207060,0.000000,2.000000,75.000000,23.300000,7.758900,9.716100,"F","Default"
"REF00000067","James","Raymond","Bell","","1963-04-08",2006-09-21,"M","38 Alpha Crescent","KSAATown","United States","KS 7590","0 9649","james_bell@www.xpsiaqko.net","www.xpsiaqko.net",832012,2012,591236,461057,206096,16.000000,9.000000,23.000000,6.400000,0.186944,1.285056,"F","Default"
"REF00000068","Ruby","Deborah","Peterson","","1981-08-07",,"F","21 Greeney Court","YAZC City","United States","YA 2270","0 4671","r.peterson@www.ftpqddgk.org","www.ftpqddgk.org",304429,4429,617287,948660,367627,16.000000,7.000000,46.000000,9.100000,2.515786,1.670214,"F","Repaid"
"REF00000069","Eric","Jimmy","Harris","","1970-01-24",,"M","74 Dumble Avenue","KSAATown","United States","KS 8885","0 9662","e.harris@www.adqyzcvo.org","www.adqyzcvo.org",740775,775,560720,372794,446766,3.000000,4.000000,31.000000,8.200000,1.492154,1.049846,"F","Default"
"REF00000070","Karen","Sandra","Alexander","","1972-09-27",,"F","30 Bramble Road","ANEZ City","United States","AN 8574","0 4202","karen_alexander@www.xakzzhpe.org","www.xakzzhpe.org",989204,9204,984537,225900,940516,2.000000,5.000000,20.000000,18.600000,0.569160,3.150840,"F","Default"
"REF00000071","Michael","Jeffrey","Collins","","1962-02-03",2011-07-20,"M","36 West Avenue","KSAATown","United States","KS 1771","0 8763","m.collins@www.fqopjgos.org","www.fqopjgos.org",688863,8863,562463,102749,736429,4.000000,17.000000,21.000000,23.100000,1.401939,3.449061,"F","Repaid"
"REF00000072","Pamela","Deborah","Hernandez","","1964-06-16",2004-10-23,"F","28 Loom Drive","PWMSA City","United States","PW 9380","0 9481","p.hernandez@www.zuopjdyr.net","www.zuopjdyr.net",309974,9974,700249,318295,653383,8.000000,4.000000,34.000000,23.800000,3.099236,4.992764,"F","Repaid"
"REF00000073","Billy","Bruce","Phillips","","1967-03-26",,"M","95 Oak Close","HWAZ Rapids","United States","HW 6627","0 5846","billy_phillips@www.bgoazpnnf.net","www.bgoazpnnf.net",484159,4159,275669,895974,684723,12.000000,9.000000,100.000000,12.800000,4.582400,8.217600,"F","Repaid"
"REF00000074","Tammy","Bonnie","Howard","","1996-05-24",,"F","70 Alpha Road","UWNZ Falls","United States","UW 4191","0 5609","tammy_howard@www.xsyhkeur.net","www.xsyhkeur.net",252164,2164,530214,457542,536505,10.000000,24.000000,26.000000,10.600000,1.518556,1.237444,"F","Repaid"
"REF00000075","Kevin","Alan","Hayes","","1934-03-03",1974-03-08,"M","57 Hastings Drive","HWAZ Rapids","United States","HW 5330","0 3915","","",682223,2223,598800,784503,988921,4.000000,0.000000,44.000000,1.700000,0.071060,0.676940,"F","Repaid"
"REF00000076","James","Bruce","Sanders","","1933-05-04",1973-04-02,"M","51 West Drive","PZYVille","United States","PZ 7050","0 1843","","",175703,5703,304547,541424,642718,3.000000,8.000000,51.000000,23.800000,3.738504,8.399496,"F","Repaid"
"REF00000853","Robert","Bruce","Carter","","1994-03-06",,"M","76 Yockley Close","QXYTown","United States","QX 8311","0 2428","robert_carter@www.nllykast.com","www.nllykast.com",997435,7435,324122,467005,486114,5.000000,2.000000,21.000000,0.600000,0.025074,0.100926,"F","Repaid"
"REF00000078","Scott","Bobby","Smith","","1961-02-20",2008-03-25,"M","32 Aadrvark Avenue","YAZC City","United States","YA 3933","0 7008","scott_smith@www.ieyhktzk.net","www.ieyhktzk.net",233270,3270,470966,228908,205088,10.000000,8.000000,17.000000,6.700000,0.157182,0.981818,"F","Repaid"
"REF00000079","Rose","Elizabeth","Jackson","","1965-04-08",2005-11-24,"F","56 Juniper Close","ABWQ City","United States","AB 9978","0 1131","rose_jackson@www.kzqqxxyff.com","www.kzqqxxyff.com",153655,3655,376744,304618,888412,9.000000,3.000000,37.000000,2.600000,0.199134,0.762866,"F","Repaid"
"REF00000080","Steve","Russell","Hughes","","1940-04-17",,"M","62 Lombard Crescent","HWAZ Rapids","United States","HW 5959","0 8054","steve_hughes@www.zlsiatph.net","www.zlsiatph.net",720805,805,321454,951607,324529,1.000000,0.000000,39.000000,3.200000,0.686400,0.561600,"F","Repaid"
"REF00000081","Kathy","Mildred","Foster","","1979-06-01",,"F","8 Banburgh Crescent","YAZC City","United States","YA 9637","0 9374","kathy_foster@www.opoazpzhp.net","www.opoazpzhp.net",937168,7168,293145,724628,351906,10.000000,12.000000,27.000000,10.500000,2.472120,0.362880,"F","Default"
"REF00000082","Donna","Heather","Smith","","1992-06-23",,"F","11 Panner Crescent","KSAATown","United States","KS 9860","0 6493","donna_smith@www.rqqyznrx.org","www.rqqyznrx.org",908654,8654,787703,298155,137627,11.000000,6.000000,45.000000,17.000000,2.738700,4.911300,"F","Repaid"
"REF00000083","Ralph","Ernest","Wright","","1942-01-27",1990-01-26,"M","49 Dumble Close","YAZC City","United States","YA 4310","0 1128","","",650398,398,936265,602253,445335,0.000000,8.000000,32.000000,19.600000,2.696960,3.575040,"F","Repaid"
"REF00000084","Nicholas","Kenneth","Foster","","1976-11-24",,"M","52 Cork Drive","YAZC City","United States","YA 6212","0 5556","nicholas_foster@www.mosiaxbr.com","www.mosiaxbr.com",776551,6551,220616,216308,939907,15.000000,18.000000,29.000000,11.000000,1.843820,1.346180,"F","Repaid"
"REF00000085","Jonathan","Mark","Mitchell","","1928-03-06",1971-08-23,"M","78 Cork Way","ANEZ City","United States","AN 6129","0 1115","","",417737,7737,948459,504467,704370,13.000000,4.000000,20.000000,5.400000,0.318600,0.761400,"F","Repaid"
"REF00000086","Stephen","Jesse","Wilson","","1964-03-24",,"M","98 Panner Drive","HWAZ Rapids","United States","HW 1644","0 5818","stephen_wilson@www.njqyzuok.com","www.njqyzuok.com",633547,3547,332073,182169,517378,6.000000,0.000000,45.000000,18.800000,2.013480,6.446520,"F","Repaid"
"REF00000087","Thomas","Raymond","Henderson","","1974-10-24",,"M","14 Banburgh Court","ABWQ City","United States","AB 8164","0 9376","thomas_henderson@www.nlqyzogb.org","www.nlqyzogb.org",377888,7888,722420,884327,366356,0.000000,1.000000,36.000000,12.400000,3.490848,0.973152,"F","Default"
"REF00000088","Dennis","Aaron","Powell","","1950-12-16",1995-05-19,"M","48 South Lane","ABWQ City","United States","AB 9602","0 9473","","",480182,182,648647,245189,117711,0.000000,1.000000,29.000000,24.600000,1.405398,5.728602,"F","Repaid"
"REF00000089","Timothy","Paul","Reed","","1943-01-23",,"M","19 Park Lane","YAZC City","United States","YA 2028","0 5613","t.reed@www.jfuxqjzn.com","www.jfuxqjzn.com",524387,4387,894427,677763,556084,6.000000,10.000000,28.000000,2.900000,0.116116,0.695884,"F","Repaid"
"REF00000090","Joseph","Joshua","Gonzales","","1990-04-04",,"M","90 Alpha Drive","QXYTown","United States","QX 9782","0 2872","joseph_gonzales@www.sqsiazeq.com","www.sqsiazeq.com",812436,2436,886562,719774,646054,9.000000,0.000000,17.000000,27.700000,2.043706,2.665294,"F","Default"
"REF00000091","Eugene","Timothy","Alexander","","1936-11-07",1984-12-02,"M","92 Greeney Way","QXYTown","United States","QX 1742","0 9871","","",515958,5958,353663,572279,262001,0.000000,8.000000,23.000000,6.200000,0.052762,1.373238,"F","Repaid"
"REF00000092","Jose","Howard","Lewis","","1963-08-27",2003-08-17,"M","3 Hadden Lane","KSAATown","United States","KS 5855","0 3322","jose_lewis@www.uqoazpqgq.com","www.uqoazpqgq.com",470469,469,624236,388160,186207,17.000000,22.000000,15.000000,11.400000,0.371070,1.338930,"F","Default"
"REF00000093","Ashley","Frances","Ross","","1968-11-19",,"F","38 Hillcrest Court","YAZC City","United States","YA 2406","0 9493","a.ross@www.fxoazpabr.com","www.fxoazpabr.com",189964,9964,624644,416945,276776,0.000000,2.000000,54.000000,10.600000,1.499688,4.224312,"F","Repaid"
"REF00000094","Doris","Diana","Ramirez","","1927-02-23",1969-02-18,"F","93 Treehill Court","KSAATown","United States","KS 2792","0 3122","","",426224,6224,200060,586344,301123,1.000000,10.000000,18.000000,5.800000,0.296496,0.747504,"F","Default"
"REF00000095","Brian","Roy","Perez","I","1987-12-13",,"M","52 Viking Road","KSAATown","United States","KS 9371","0 1970","b.perez@www.insiadqn.com","www.insiadqn.com",896518,6518,289297,463741,282910,2.000000,4.000000,15.000000,26.300000,1.960665,1.984335,"F","Default"
"REF00000096","Bobby","Juan","Lewis","","1946-12-08",1991-06-19,"M","62 Abbey Avenue","ANEZ City","United States","AN 3491","0 5226","","",848890,8890,378214,758839,372637,7.000000,17.000000,54.000000,4.400000,0.727056,1.648944,"F","Repaid"
"REF00000097","Richard","Nicholas","Brooks","","1953-07-17",2001-12-23,"M","97 Loop Court","QXYTown","United States","QX 2467","0 5314","richard_brooks@www.hfoazpnlf.net","www.hfoazpnlf.net",357979,7979,977020,876231,693013,1.000000,2.000000,82.000000,3.300000,1.315116,1.390884,"F","Repaid"
"REF00000098","Paul","Donald","Sanders","","1974-04-17",,"M","31 Banburgh Court","QXYTown","United States","QX 2999","0 3568","paul_sanders@www.rkuxqkux.org","www.rkuxqkux.org",589461,9461,890342,808520,582499,0.000000,11.000000,52.000000,7.300000,0.926224,2.869776,"F","Repaid"
